COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Staci L. Weaver,Tamara Thomas,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLI,1,PCT 001,2645,717,0,282,204,0,231,Staci L. Weaver,Staci
COLLI,2,PCT 002,4804,609,0,271,204,0,134,Staci L. Weaver,Staci
COLLI,3,PCT 003,2814,274,0,76,122,0,76,Tamara Thomas,Tamara
COLLI,4,PCT 004,3879,314,0,141,101,0,72,Staci L. Weaver,Staci
COLLI,5,PCT 005,1006,64,0,36,20,0,8,Staci L. Weaver,Staci
COLLI,6,PCT 006,1614,58,0,22,32,0,4,Tamara Thomas,Tamara
COLLI,7,PCT 007,1505,57,0,21,32,0,4,Tamara Thomas,Tamara
COLLI,8,PCT 008,5251,32,0,22,11,0,0,Staci L. Weaver,Staci
COLLI,9,PCT 009,3777,32,0,15,12,0,5,Staci L. Weaver,Staci
COLLI,10,PCT 010,872,33,0,17,10,0,6,Staci L. Weaver,Staci
COLLI,11,PCT 011,4758,46,0,33,13,0,1,Staci L. Weaver,Staci
COLLI,12,PCT 012,2154,434,0,214,117,0,103,Staci L. Weaver,Staci
COLLI,13,PCT 013,3107,200,0,113,43,0,43,Staci L. Weaver,Staci
COLLI,14,PCT 014,3240,238,0,108,95,0,35,Staci L. Weaver,Staci
COLLI,15,PCT 015,1574,164,0,93,62,0,9,Staci L. Weaver,Staci
COLLI,16,PCT 016,2548,274,0,124,77,0,73,Staci L. Weaver,Staci
COLLI,17,PCT 017,4191,253,0,132,86,0,36,Staci L. Weaver,Staci
COLLI,18,PCT 018,991,32,0,17,7,0,8,Staci L. Weaver,Staci
COLLI,19,PCT 019,1567,235,0,114,86,0,35,Staci L. Weaver,Staci
COLLI,20,PCT 020,2395,190,0,80,55,0,55,Staci L. Weaver,Staci
COLLI,21,PCT 021,4259,606,0,280,254,0,72,Staci L. Weaver,Staci
COLLI,22,PCT 022,4651,807,0,396,148,0,264,Staci L. Weaver,Staci
COLLI,23,PCT 023,3381,146,0,32,89,0,25,Tamara Thomas,Tamara
COLLI,24,PCT 024,1955,108,0,39,50,0,19,Tamara Thomas,Tamara
COLLI,25,PCT 025,4058,904,0,341,340,0,223,Staci L. Weaver,Staci
COLLI,26,PCT 026,1241,96,0,42,45,0,9,Tamara Thomas,Tamara
COLLI,27,PCT 027,2693,182,0,92,60,0,30,Staci L. Weaver,Staci
COLLI,28,PCT 028,3495,361,0,174,145,0,42,Staci L. Weaver,Staci
COLLI,29,PCT 029,3425,348,0,162,85,0,101,Staci L. Weaver,Staci
COLLI,30,PCT 030,988,160,0,78,46,0,37,Staci L. Weaver,Staci
COLLI,31,PCT 031,2015,350,0,185,120,0,45,Staci L. Weaver,Staci
COLLI,32,PCT 032,2414,345,0,148,153,0,44,Tamara Thomas,Tamara
COLLI,33,PCT 033,3653,166,0,63,54,0,49,Staci L. Weaver,Staci
COLLI,34,PCT 034,4258,593,0,253,278,0,62,Tamara Thomas,Tamara
COLLI,35,PCT 035,1782,46,0,21,14,0,11,Staci L. Weaver,Staci
COLLI,36,PCT 036,1946,356,0,140,86,0,130,Staci L. Weaver,Staci
COLLI,37,PCT 037,2768,357,0,171,69,0,117,Staci L. Weaver,Staci
COLLI,38,PCT 038,3922,225,0,72,114,0,39,Tamara Thomas,Tamara
COLLI,39,PCT 039,2890,266,0,104,135,0,27,Tamara Thomas,Tamara
COLLI,40,PCT 040,3503,192,0,99,73,0,20,Staci L. Weaver,Staci
COLLI,41,PCT 041,1887,272,0,133,54,0,85,Staci L. Weaver,Staci
COLLI,42,PCT 042,0,0,0,0,0,0,0,Staci L. Weaver,Staci
COLLI,43,PCT 043,3353,343,0,131,153,0,59,Tamara Thomas,Tamara
COLLI,44,PCT 044,1602,166,0,69,58,0,39,Staci L. Weaver,Staci
COLLI,45,PCT 045,3343,57,0,33,21,0,3,Staci L. Weaver,Staci
COLLI,46,PCT 046,3019,232,0,104,87,0,41,Staci L. Weaver,Staci
COLLI,47,PCT 047,2522,293,0,138,138,0,17,Staci L. Weaver,Staci
COLLI,48,PCT 048,3641,573,0,221,162,0,190,Staci L. Weaver,Staci
COLLI,49,PCT 049,2339,324,0,165,125,0,34,Staci L. Weaver,Staci
COLLI,50,PCT 050,3178,185,0,68,95,0,22,Tamara Thomas,Tamara
COLLI,51,PCT 051,1768,94,0,40,40,0,14,Staci L. Weaver,Staci
COLLI,52,PCT 052,4599,556,0,150,295,0,111,Tamara Thomas,Tamara
COLLI,53,PCT 053,2192,353,0,164,153,0,36,Staci L. Weaver,Staci
COLLI,54,PCT 054,3510,251,0,97,126,0,28,Tamara Thomas,Tamara
COLLI,55,PCT 055,3975,476,0,158,129,0,189,Staci L. Weaver,Staci
COLLI,56,PCT 056,3454,171,0,88,59,0,24,Staci L. Weaver,Staci
COLLI,57,PCT 057,1535,224,0,92,76,0,56,Staci L. Weaver,Staci
COLLI,58,PCT 058,3491,302,0,136,126,0,40,Staci L. Weaver,Staci
COLLI,59,PCT 059,3908,193,0,118,65,0,10,Staci L. Weaver,Staci
COLLI,60,PCT 060,3280,434,0,203,107,0,124,Staci L. Weaver,Staci
COLLI,61,PCT 061,1651,291,0,149,99,0,43,Staci L. Weaver,Staci
COLLI,62,PCT 062,2435,329,0,143,157,0,28,Tamara Thomas,Tamara
COLLI,63,PCT 063,2002,383,0,197,139,0,47,Staci L. Weaver,Staci
COLLI,64,PCT 064,2532,364,0,163,158,0,43,Staci L. Weaver,Staci
COLLI,65,PCT 065,1195,158,0,70,72,0,16,Tamara Thomas,Tamara
COLLI,66,PCT 066,2136,250,0,121,96,0,33,Staci L. Weaver,Staci
COLLI,67,PCT 067,2823,240,0,120,102,0,18,Staci L. Weaver,Staci
COLLI,68,PCT 068,1979,197,0,87,86,0,24,Staci L. Weaver,Staci
COLLI,69,PCT 069,3775,648,0,315,244,0,89,Staci L. Weaver,Staci
COLLI,70,PCT 070,1847,247,0,118,103,0,26,Staci L. Weaver,Staci
COLLI,71,PCT 071,1764,251,0,119,107,0,25,Staci L. Weaver,Staci
COLLI,72,PCT 072,1658,206,0,127,64,0,15,Staci L. Weaver,Staci
COLLI,73,PCT 073,1829,154,0,54,64,0,36,Tamara Thomas,Tamara
COLLI,74,PCT 074,1927,305,0,123,78,0,104,Staci L. Weaver,Staci
COLLI,75,PCT 075,2284,249,0,144,72,0,33,Staci L. Weaver,Staci
COLLI,76,PCT 076,3203,501,0,260,171,0,70,Staci L. Weaver,Staci
COLLI,77,PCT 077,3516,398,0,184,167,0,47,Staci L. Weaver,Staci
COLLI,78,PCT 078,4635,450,0,201,140,0,109,Staci L. Weaver,Staci
COLLI,79,PCT 079,2615,295,0,121,77,0,97,Staci L. Weaver,Staci
COLLI,80,PCT 080,3516,168,0,74,81,0,13,Tamara Thomas,Tamara
COLLI,81,PCT 081,2827,371,0,155,170,0,46,Tamara Thomas,Tamara
COLLI,82,PCT 082,2898,98,0,51,39,0,8,Staci L. Weaver,Staci
COLLI,83,PCT 083,4171,281,0,170,66,0,45,Staci L. Weaver,Staci
COLLI,84,PCT 084,2446,336,0,156,79,0,101,Staci L. Weaver,Staci
COLLI,85,PCT 085,3355,340,0,152,162,0,25,Tamara Thomas,Tamara
COLLI,86,PCT 086,2959,348,0,190,118,0,40,Staci L. Weaver,Staci
COLLI,87,PCT 087,3503,689,0,281,263,0,145,Staci L. Weaver,Staci
COLLI,88,PCT 088,1412,57,0,21,17,0,19,Staci L. Weaver,Staci
COLLI,89,PCT 089,3137,375,0,191,144,0,40,Staci L. Weaver,Staci
COLLI,90,PCT 090,3139,403,0,244,110,0,49,Staci L. Weaver,Staci
COLLI,91,PCT 091,2264,339,0,151,144,0,44,Staci L. Weaver,Staci
COLLI,92,PCT 092,4470,343,0,147,122,0,74,Staci L. Weaver,Staci
COLLI,93,PCT 093,288,19,0,8,2,0,9,Staci L. Weaver,Staci
COLLI,94,PCT 094,4147,720,0,280,225,0,215,Staci L. Weaver,Staci
COLLI,95,PCT 095,3031,137,0,58,57,0,22,Staci L. Weaver,Staci
