COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,Against,For,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLL,1,PCT 001,2737,1491,0,0,0,0,0,Against,Against
COLL,2,PCT 002,4654,2084,0,0,0,0,0,Against,Against
COLL,3,PCT 003,2863,840,0,0,0,0,0,Against,Against
COLL,4,PCT 004,3016,1694,0,0,0,0,0,Against,Against
COLL,5,PCT 005,1029,576,0,0,0,0,0,Against,Against
COLL,6,PCT 006,1616,744,1,0,0,0,0,Against,Against
COLL,7,PCT 007,1549,790,0,0,0,0,0,Against,Against
COLL,8,PCT 008,2720,1247,1,0,0,0,0,Against,Against
COLL,9,PCT 009,2455,1170,0,0,0,0,0,Against,Against
COLL,10,PCT 010,927,520,0,0,0,0,0,Against,Against
COLL,11,PCT 011,4412,2219,0,0,0,0,0,Against,Against
COLL,12,PCT 012,2149,1253,1,0,0,0,0,Against,Against
COLL,13,PCT 013,2011,1249,0,0,0,0,0,Against,Against
COLL,14,PCT 014,3268,1576,0,0,0,0,0,Against,Against
COLL,15,PCT 015,1650,766,0,0,0,0,0,Against,Against
COLL,16,PCT 016,1986,1057,0,0,0,0,0,Against,Against
COLL,17,PCT 017,3236,1595,0,0,0,0,0,Against,Against
COLL,18,PCT 018,1001,498,1,0,0,0,0,Against,Against
COLL,19,PCT 019,1644,1038,0,0,0,0,0,Against,Against
COLL,20,PCT 020,995,655,0,0,0,0,0,Against,Against
COLL,21,PCT 021,4296,2537,1,0,0,0,0,Against,Against
COLL,22,PCT 022,4014,2199,0,0,0,0,0,Against,Against
COLL,23,PCT 023,3117,1022,1,0,0,0,0,Against,Against
COLL,24,PCT 024,2375,927,5,0,0,0,0,Against,Against
COLL,25,PCT 025,3943,2150,8,0,0,0,0,Against,Against
COLL,26,PCT 026,1314,568,0,0,0,0,0,Against,Against
COLL,27,PCT 027,2741,1317,0,0,0,0,0,Against,Against
COLL,28,PCT 028,3618,2032,0,0,0,0,0,Against,Against
COLL,29,PCT 029,2462,1383,0,0,0,0,0,Against,Against
COLL,30,PCT 030,1002,530,0,0,0,0,0,Against,Against
COLL,31,PCT 031,2058,1365,0,0,0,0,0,Against,Against
COLL,32,PCT 032,2493,1546,0,0,0,0,0,Against,Against
COLL,33,PCT 033,2508,1376,0,0,0,0,0,Against,Against
COLL,34,PCT 034,4438,2448,0,0,0,0,0,Against,Against
COLL,35,PCT 035,1733,887,0,0,0,0,0,Against,Against
COLL,36,PCT 036,1985,1296,4,0,0,0,0,Against,Against
COLL,37,PCT 037,2571,1392,1,0,0,0,0,Against,Against
COLL,38,PCT 038,3167,1369,0,0,0,0,0,Against,Against
COLL,39,PCT 039,3081,1510,0,0,0,0,0,Against,Against
COLL,40,PCT 040,3635,2040,1,0,0,0,0,Against,Against
