COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM No,DEM Yes,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLIN,1,PCT 001,2639,871,0,20,389,0,14,DEM Yes,DEM
COLLIN,10,PCT 010,1004,275,0,1,28,0,2,DEM Yes,DEM
COLLIN,100,PCT 100,1991,423,0,5,173,0,2,DEM Yes,DEM
COLLIN,101,PCT 101,4237,987,0,15,472,1,19,DEM Yes,DEM
COLLIN,102,PCT 102,2472,928,0,7,301,0,11,DEM Yes,DEM
COLLIN,103,PCT 103,1357,313,0,12,174,0,14,DEM Yes,DEM
COLLIN,104,PCT 104,2205,426,0,8,263,0,11,DEM Yes,DEM
COLLIN,105,PCT 105,265,47,0,1,39,0,2,DEM Yes,DEM
COLLIN,106,PCT 106,1826,505,0,7,233,0,14,DEM Yes,DEM
COLLIN,107,PCT 107,3310,1022,0,21,502,1,27,DEM Yes,DEM
COLLIN,108,PCT 108,3010,801,0,17,399,0,31,DEM Yes,DEM
COLLIN,109,PCT 109,4785,1265,0,15,523,0,39,DEM Yes,DEM
COLLIN,11,PCT 011,4412,1136,0,13,254,0,5,DEM Yes,DEM
COLLIN,110,PCT 110,2751,934,0,14,414,0,19,DEM Yes,DEM
COLLIN,111,PCT 111,3063,776,0,9,249,0,11,DEM Yes,DEM
COLLIN,112,PCT 112,3110,917,0,18,393,1,29,DEM Yes,DEM
COLLIN,113,PCT 113,3289,823,0,22,410,0,19,DEM Yes,DEM
COLLIN,114,PCT 114,5068,1180,0,25,576,1,21,DEM Yes,DEM
COLLIN,115,PCT 115,2916,926,0,20,468,0,23,DEM Yes,DEM
COLLIN,116,PCT 116,5031,1429,0,17,530,1,37,DEM Yes,DEM
COLLIN,117,PCT 117,4167,1014,0,28,519,1,20,DEM Yes,DEM
COLLIN,118,PCT 118,4184,1111,0,26,503,0,12,DEM Yes,DEM
COLLIN,119,PCT 119,2321,705,0,13,297,0,24,DEM Yes,DEM
COLLIN,12,PCT 012,2150,648,0,8,256,0,13,DEM Yes,DEM
COLLIN,120,PCT 120,3543,1179,0,25,406,1,22,DEM Yes,DEM
COLLIN,121,PCT 121,2837,636,0,11,333,1,29,DEM Yes,DEM
COLLIN,122,PCT 122,4862,1520,0,19,490,0,31,DEM Yes,DEM
COLLIN,123,PCT 123,2033,604,0,5,247,1,18,DEM Yes,DEM
COLLIN,124,PCT 124,3148,859,0,18,431,0,31,DEM Yes,DEM
COLLIN,125,PCT 125,2244,600,0,10,292,0,12,DEM Yes,DEM
COLLIN,126,PCT 126,4893,1397,0,35,734,0,27,DEM Yes,DEM
COLLIN,127,PCT 127,3922,997,0,12,535,0,16,DEM Yes,DEM
COLLIN,128,PCT 128,3138,1035,0,10,238,0,12,DEM Yes,DEM
COLLIN,129,PCT 129,4514,1216,0,36,552,0,18,DEM Yes,DEM
COLLIN,13,PCT 013,3323,807,0,12,263,0,9,DEM Yes,DEM
COLLIN,130,PCT 130,3899,1115,0,27,562,0,34,DEM Yes,DEM
COLLIN,131,PCT 131,3041,897,0,15,331,0,14,DEM Yes,DEM
COLLIN,132,PCT 132,2754,863,0,20,499,0,24,DEM Yes,DEM
COLLIN,133,PCT 133,2962,682,0,20,323,0,18,DEM Yes,DEM
COLLIN,134,PCT 134,4135,880,0,22,465,0,16,DEM Yes,DEM
COLLIN,135,PCT 135,4147,995,0,31,507,0,29,DEM Yes,DEM
COLLIN,136,PCT 136,1922,682,0,12,283,0,14,DEM Yes,DEM
COLLIN,137,PCT 137,1987,572,0,11,218,0,12,DEM Yes,DEM
COLLIN,138,PCT 138,2484,774,0,13,382,0,17,DEM Yes,DEM
COLLIN,139,PCT 139,3894,933,0,22,481,0,32,DEM Yes,DEM
COLLIN,14,PCT 014,3349,706,0,16,381,0,25,DEM Yes,DEM
COLLIN,140,PCT 140,4688,1494,0,22,481,0,14,DEM Yes,DEM
COLLIN,141,PCT 141,3467,1213,0,24,560,0,26,DEM Yes,DEM
COLLIN,142,PCT 142,2714,904,0,18,467,0,19,DEM Yes,DEM
COLLIN,143,PCT 143,2097,608,0,12,235,0,22,DEM Yes,DEM
COLLIN,144,PCT 144,2915,980,0,21,386,1,13,DEM Yes,DEM
COLLIN,145,PCT 145,1733,461,0,5,246,1,12,DEM Yes,DEM
COLLIN,146,PCT 146,4730,1117,0,32,567,0,29,DEM Yes,DEM
COLLIN,147,PCT 147,2177,483,0,9,237,0,15,DEM Yes,DEM
COLLIN,148,PCT 148,1279,429,0,9,130,0,4,DEM Yes,DEM
COLLIN,149,PCT 149,4602,1345,0,43,545,0,16,DEM Yes,DEM
COLLIN,15,PCT 015,1585,349,0,10,191,0,5,DEM Yes,DEM
COLLIN,150,PCT 150,2578,948,0,12,327,0,11,DEM Yes,DEM
COLLIN,151,PCT 151,1865,448,0,12,238,1,8,DEM Yes,DEM
COLLIN,152,PCT 152,320,51,0,0,38,0,3,DEM Yes,DEM
COLLIN,153,PCT 153,1241,303,0,9,127,0,10,DEM Yes,DEM
COLLIN,154,PCT 154,3521,813,0,18,261,0,5,DEM Yes,DEM
COLLIN,155,PCT 155,2946,777,0,18,340,0,11,DEM Yes,DEM
COLLIN,156,PCT 156,3689,1020,0,32,487,1,22,DEM Yes,DEM
COLLIN,157,PCT 157,4382,1131,0,20,540,1,22,DEM Yes,DEM
COLLIN,158,PCT 158,2842,731,0,16,376,0,21,DEM Yes,DEM
COLLIN,159,PCT 159,3355,770,0,19,401,0,11,DEM Yes,DEM
COLLIN,16,PCT 016,2661,641,0,10,187,0,6,DEM Yes,DEM
COLLIN,160,PCT 160,564,161,0,3,23,0,1,DEM Yes,DEM
COLLIN,161,PCT 161,270,69,0,0,23,0,0,DEM Yes,DEM
COLLIN,162,PCT 162,1158,296,0,5,120,0,2,DEM Yes,DEM
COLLIN,163,PCT 163,2172,475,0,10,235,0,4,DEM Yes,DEM
COLLIN,164,PCT 164,2373,944,0,17,354,0,22,DEM Yes,DEM
COLLIN,165,PCT 165,941,354,0,6,95,0,7,DEM Yes,DEM
COLLIN,166,PCT 166,4361,1249,0,26,511,0,26,DEM Yes,DEM
COLLIN,167,PCT 167,2168,449,0,9,236,0,15,DEM Yes,DEM
COLLIN,168,PCT 168,1923,555,0,9,162,1,3,DEM Yes,DEM
COLLIN,169,PCT 169,3515,853,0,15,453,0,15,DEM Yes,DEM
COLLIN,17,PCT 017,4540,1043,0,33,466,0,14,DEM Yes,DEM
COLLIN,170,PCT 170,1867,534,0,10,227,0,6,DEM Yes,DEM
COLLIN,171,PCT 171,3055,711,0,15,359,0,14,DEM Yes,DEM
COLLIN,172,PCT 172,3473,807,0,15,319,0,12,DEM Yes,DEM
COLLIN,173,PCT 173,619,250,0,5,71,0,2,DEM Yes,DEM
COLLIN,174,PCT 174,4644,1075,0,24,487,0,24,DEM Yes,DEM
COLLIN,175,PCT 175,2091,624,0,10,217,0,8,DEM Yes,DEM
COLLIN,176,PCT 176,3842,625,0,16,393,0,19,DEM Yes,DEM
COLLIN,177,PCT 177,3561,704,0,10,293,0,3,DEM Yes,DEM
COLLIN,178,PCT 178,3481,793,0,12,260,0,20,DEM Yes,DEM
COLLIN,179,PCT 179,4577,1947,0,18,471,0,16,DEM Yes,DEM
COLLIN,18,PCT 018,1103,286,0,3,64,0,2,DEM Yes,DEM
COLLIN,180,PCT 180,3505,765,0,22,407,0,14,DEM Yes,DEM
COLLIN,181,PCT 181,3487,713,0,24,321,0,11,DEM Yes,DEM
COLLIN,182,PCT 182,3955,1101,0,17,484,0,17,DEM Yes,DEM
COLLIN,183,PCT 183,172,46,0,1,9,0,1,DEM Yes,DEM
COLLIN,184,PCT 184,3241,571,0,23,323,0,13,DEM Yes,DEM
COLLIN,185,PCT 185,3531,899,0,22,376,0,11,DEM Yes,DEM
COLLIN,186,PCT 186,822,207,0,4,29,0,0,DEM Yes,DEM
COLLIN,187,PCT 187,1135,207,0,8,101,0,4,DEM Yes,DEM
COLLIN,188,PCT 188,808,145,0,2,58,0,0,DEM Yes,DEM
COLLIN,189,PCT 189,2454,632,0,7,192,0,13,DEM Yes,DEM
COLLIN,19,PCT 019,1575,565,0,7,262,0,14,DEM Yes,DEM
COLLIN,190,PCT 190,1054,285,0,3,104,0,5,DEM Yes,DEM
COLLIN,191,PCT 191,1149,199,0,6,81,0,3,DEM Yes,DEM
COLLIN,192,PCT 192,4732,1089,0,26,383,0,18,DEM Yes,DEM
COLLIN,193,PCT 193,1422,403,0,7,103,0,3,DEM Yes,DEM
COLLIN,194,PCT 194,4021,1090,0,21,441,0,10,DEM Yes,DEM
COLLIN,195,PCT 195,886,295,0,1,70,0,1,DEM Yes,DEM
COLLIN,196,PCT 196,1954,548,0,18,247,0,12,DEM Yes,DEM
COLLIN,197,PCT 197,1274,300,0,5,160,0,8,DEM Yes,DEM
COLLIN,198,PCT 198,3688,1035,0,15,510,0,16,DEM Yes,DEM
COLLIN,199,PCT 199,4303,1022,0,24,328,1,24,DEM Yes,DEM
COLLIN,2,PCT 002,4921,1199,0,29,607,1,24,DEM Yes,DEM
COLLIN,20,PCT 020,2585,695,0,15,264,0,5,DEM Yes,DEM
COLLIN,200,PCT 200,3207,749,0,14,270,0,13,DEM Yes,DEM
COLLIN,201,PCT 201,0,0,0,0,0,0,0,DEM Yes,DEM
COLLIN,203,PCT 203,3086,1046,0,13,384,0,13,DEM Yes,DEM
COLLIN,204,PCT 204,353,147,0,1,37,0,3,DEM Yes,DEM
COLLIN,205,PCT 205,4051,1058,0,29,448,0,25,DEM Yes,DEM
COLLIN,206,PCT 206,1967,582,0,9,248,0,13,DEM Yes,DEM
COLLIN,207,PCT 207,4006,1089,0,28,438,0,24,DEM Yes,DEM
COLLIN,208,PCT 208,4590,1226,0,19,463,0,18,DEM Yes,DEM
COLLIN,209,PCT 209,168,61,0,1,17,0,1,DEM Yes,DEM
COLLIN,21,PCT 021,4306,1367,0,25,671,1,27,DEM Yes,DEM
COLLIN,210,PCT 210,1773,527,0,11,197,0,12,DEM Yes,DEM
COLLIN,211,PCT 211,3462,924,0,19,360,0,23,DEM Yes,DEM
COLLIN,212,PCT 212,2673,593,0,17,256,0,15,DEM Yes,DEM
COLLIN,213,PCT 213,3657,834,0,27,440,0,21,DEM Yes,DEM
COLLIN,214,PCT 214,3905,1116,0,12,219,0,15,DEM Yes,DEM
COLLIN,215,PCT 215,3928,729,0,14,336,0,6,DEM Yes,DEM
COLLIN,216,PCT 216,4951,1359,0,30,476,0,21,DEM Yes,DEM
COLLIN,217,PCT 217,3135,852,0,18,368,0,20,DEM Yes,DEM
COLLIN,218,PCT 218,4353,1059,0,22,431,0,16,DEM Yes,DEM
COLLIN,219,PCT 219,4650,1186,0,27,584,1,20,DEM Yes,DEM
COLLIN,22,PCT 022,5007,1181,0,18,338,0,11,DEM Yes,DEM
COLLIN,220,PCT 220,2612,465,0,9,257,0,15,DEM Yes,DEM
COLLIN,221,PCT 221,1981,634,0,14,177,0,10,DEM Yes,DEM
COLLIN,222,PCT 222,3938,1028,0,29,461,0,26,DEM Yes,DEM
COLLIN,223,PCT 223,2562,696,0,15,305,1,16,DEM Yes,DEM
COLLIN,224,PCT 224,3333,960,0,10,255,1,12,DEM Yes,DEM
COLLIN,225,PCT 225,3898,859,0,17,464,0,24,DEM Yes,DEM
COLLIN,226,PCT 226,4287,1091,0,20,606,0,18,DEM Yes,DEM
COLLIN,227,PCT 227,4419,1124,0,34,529,1,26,DEM Yes,DEM
COLLIN,228,PCT 228,4884,917,0,29,554,0,21,DEM Yes,DEM
COLLIN,229,PCT 229,2465,444,0,8,251,0,9,DEM Yes,DEM
COLLIN,23,PCT 023,3491,703,0,16,520,0,18,DEM Yes,DEM
COLLIN,230,PCT 230,4835,991,0,27,552,0,26,DEM Yes,DEM
COLLIN,231,PCT 231,4720,1294,0,24,636,0,18,DEM Yes,DEM
COLLIN,232,PCT 232,3912,1083,0,20,491,0,22,DEM Yes,DEM
COLLIN,233,PCT 233,2093,600,0,8,255,1,12,DEM Yes,DEM
COLLIN,234,PCT 234,3554,782,0,21,395,0,20,DEM Yes,DEM
COLLIN,235,PCT 235,1912,397,0,7,190,0,14,DEM Yes,DEM
COLLIN,236,PCT 236,3021,957,0,17,310,0,21,DEM Yes,DEM
COLLIN,237,PCT 237,2378,562,0,14,273,0,15,DEM Yes,DEM
COLLIN,238,PCT 238,4008,813,0,22,502,0,17,DEM Yes,DEM
COLLIN,239,PCT 239,4207,1023,0,18,317,0,15,DEM Yes,DEM
COLLIN,24,PCT 024,2024,457,0,14,309,0,15,DEM Yes,DEM
COLLIN,240,PCT 240,4727,1019,0,22,345,0,10,DEM Yes,DEM
COLLIN,241,PCT 241,1523,507,0,5,198,0,6,DEM Yes,DEM
COLLIN,242,PCT 242,3612,1005,0,19,421,0,10,DEM Yes,DEM
COLLIN,243,PCT 243,1701,509,0,6,133,0,8,DEM Yes,DEM
COLLIN,244,PCT 244,3150,848,0,22,342,1,22,DEM Yes,DEM
COLLIN,245,PCT 245,2626,523,0,10,258,0,5,DEM Yes,DEM
COLLIN,246,PCT 246,2782,903,0,21,341,0,18,DEM Yes,DEM
COLLIN,247,PCT 247,2469,794,0,13,199,0,15,DEM Yes,DEM
COLLIN,248,PCT 248,2352,487,0,11,220,1,9,DEM Yes,DEM
COLLIN,249,PCT 249,4937,987,0,28,462,0,11,DEM Yes,DEM
COLLIN,25,PCT 025,4095,1265,0,25,488,1,22,DEM Yes,DEM
COLLIN,250,PCT 250,4155,611,0,15,340,1,14,DEM Yes,DEM
COLLIN,251,PCT 251,2614,595,0,11,249,0,13,DEM Yes,DEM
COLLIN,252,PCT 252,3345,750,0,12,264,0,16,DEM Yes,DEM
