COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST BLANK,DEM No,DEM Yes,OVER VOTES,UNDER VOTES,Winning Candidate,Winning Party
COLLIN,1,PCT 001,2639,871,0,9,405,0,9,DEM Yes,DEM
COLLIN,10,PCT 010,1004,275,0,2,29,0,0,DEM Yes,DEM
COLLIN,100,PCT 100,1991,423,0,6,172,0,2,DEM Yes,DEM
COLLIN,101,PCT 101,4237,987,0,10,483,0,14,DEM Yes,DEM
COLLIN,102,PCT 102,2472,928,0,6,300,1,12,DEM Yes,DEM
COLLIN,103,PCT 103,1357,313,0,4,183,0,13,DEM Yes,DEM
COLLIN,104,PCT 104,2205,426,0,3,270,0,9,DEM Yes,DEM
COLLIN,105,PCT 105,265,47,0,0,40,0,2,DEM Yes,DEM
COLLIN,106,PCT 106,1826,505,0,2,242,0,10,DEM Yes,DEM
COLLIN,107,PCT 107,3310,1022,0,14,514,1,22,DEM Yes,DEM
COLLIN,108,PCT 108,3010,801,0,10,412,0,25,DEM Yes,DEM
COLLIN,109,PCT 109,4785,1265,0,22,518,0,37,DEM Yes,DEM
COLLIN,11,PCT 011,4412,1136,0,8,260,0,4,DEM Yes,DEM
COLLIN,110,PCT 110,2751,934,0,8,426,0,13,DEM Yes,DEM
COLLIN,111,PCT 111,3063,776,0,9,247,0,13,DEM Yes,DEM
COLLIN,112,PCT 112,3110,917,0,15,400,0,26,DEM Yes,DEM
COLLIN,113,PCT 113,3289,823,0,7,427,0,17,DEM Yes,DEM
COLLIN,114,PCT 114,5068,1180,0,15,589,0,19,DEM Yes,DEM
COLLIN,115,PCT 115,2916,926,0,16,474,0,21,DEM Yes,DEM
COLLIN,116,PCT 116,5031,1429,0,23,531,0,31,DEM Yes,DEM
COLLIN,117,PCT 117,4167,1014,0,10,544,0,14,DEM Yes,DEM
COLLIN,118,PCT 118,4184,1111,0,9,518,0,14,DEM Yes,DEM
COLLIN,119,PCT 119,2321,705,0,10,305,0,19,DEM Yes,DEM
COLLIN,12,PCT 012,2150,648,0,5,257,0,15,DEM Yes,DEM
COLLIN,120,PCT 120,3543,1179,0,10,427,0,17,DEM Yes,DEM
COLLIN,121,PCT 121,2837,636,0,9,338,0,27,DEM Yes,DEM
COLLIN,122,PCT 122,4862,1520,0,9,506,0,25,DEM Yes,DEM
COLLIN,123,PCT 123,2033,604,0,2,252,0,17,DEM Yes,DEM
COLLIN,124,PCT 124,3148,859,0,14,441,0,25,DEM Yes,DEM
COLLIN,125,PCT 125,2244,600,0,8,295,0,11,DEM Yes,DEM
COLLIN,126,PCT 126,4893,1397,0,10,764,0,22,DEM Yes,DEM
COLLIN,127,PCT 127,3922,997,0,12,534,0,17,DEM Yes,DEM
COLLIN,128,PCT 128,3138,1035,0,8,244,0,8,DEM Yes,DEM
COLLIN,129,PCT 129,4514,1216,0,7,584,0,15,DEM Yes,DEM
COLLIN,13,PCT 013,3323,807,0,12,262,0,10,DEM Yes,DEM
COLLIN,130,PCT 130,3899,1115,0,13,577,0,33,DEM Yes,DEM
COLLIN,131,PCT 131,3041,897,0,7,341,0,12,DEM Yes,DEM
COLLIN,132,PCT 132,2754,863,0,6,512,0,25,DEM Yes,DEM
COLLIN,133,PCT 133,2962,682,0,7,341,0,13,DEM Yes,DEM
COLLIN,134,PCT 134,4135,880,0,9,483,0,11,DEM Yes,DEM
COLLIN,135,PCT 135,4147,995,0,16,529,0,22,DEM Yes,DEM
COLLIN,136,PCT 136,1922,682,0,9,287,0,13,DEM Yes,DEM
COLLIN,137,PCT 137,1987,572,0,14,218,0,9,DEM Yes,DEM
COLLIN,138,PCT 138,2484,774,0,7,390,0,15,DEM Yes,DEM
COLLIN,139,PCT 139,3894,933,0,17,493,0,25,DEM Yes,DEM
COLLIN,14,PCT 014,3349,706,0,8,393,1,20,DEM Yes,DEM
COLLIN,140,PCT 140,4688,1494,0,16,486,0,15,DEM Yes,DEM
COLLIN,141,PCT 141,3467,1213,0,11,573,1,25,DEM Yes,DEM
COLLIN,142,PCT 142,2714,904,0,17,469,1,17,DEM Yes,DEM
COLLIN,143,PCT 143,2097,608,0,2,247,0,20,DEM Yes,DEM
COLLIN,144,PCT 144,2915,980,0,11,399,0,11,DEM Yes,DEM
COLLIN,145,PCT 145,1733,461,0,4,249,0,11,DEM Yes,DEM
COLLIN,146,PCT 146,4730,1117,0,14,595,1,18,DEM Yes,DEM
COLLIN,147,PCT 147,2177,483,0,8,241,0,12,DEM Yes,DEM
COLLIN,148,PCT 148,1279,429,0,4,134,1,4,DEM Yes,DEM
COLLIN,149,PCT 149,4602,1345,0,20,568,0,16,DEM Yes,DEM
COLLIN,15,PCT 015,1585,349,0,5,197,0,4,DEM Yes,DEM
COLLIN,150,PCT 150,2578,948,0,8,336,0,6,DEM Yes,DEM
COLLIN,151,PCT 151,1865,448,0,6,245,0,8,DEM Yes,DEM
COLLIN,152,PCT 152,320,51,0,2,36,0,3,DEM Yes,DEM
COLLIN,153,PCT 153,1241,303,0,4,135,0,7,DEM Yes,DEM
COLLIN,154,PCT 154,3521,813,0,7,272,1,4,DEM Yes,DEM
COLLIN,155,PCT 155,2946,777,0,7,345,0,17,DEM Yes,DEM
COLLIN,156,PCT 156,3689,1020,0,10,514,1,17,DEM Yes,DEM
COLLIN,157,PCT 157,4382,1131,0,30,529,0,24,DEM Yes,DEM
COLLIN,158,PCT 158,2842,731,0,11,387,0,15,DEM Yes,DEM
COLLIN,159,PCT 159,3355,770,0,12,411,0,8,DEM Yes,DEM
COLLIN,16,PCT 016,2661,641,0,6,190,0,7,DEM Yes,DEM
COLLIN,160,PCT 160,564,161,0,2,24,0,1,DEM Yes,DEM
COLLIN,161,PCT 161,270,69,0,2,21,0,0,DEM Yes,DEM
COLLIN,162,PCT 162,1158,296,0,2,120,1,4,DEM Yes,DEM
